"AdjVarIdx","ADJVarNames","NumberObs","PercentCC","PercentNA","Wt_Vote"
"1","Adam Scott",67,0,0.88,0.125
"2","Angel Cabrera",1,0,0.88,0.125
"3","Bill Haas",1,0,0.88,0.125
"4","Brandt Snedeker",5,0,0.88,0.125
"5","Brooks Koepka",3,0,0.88,0.125
"6","Bryson DeChambeau",2,0,0.88,0.125
"7","Bubba Watson",58,0,0.88,0.125
"8","Cameron Smith",1,0,0.88,0.125
"9","Charl Schwartzel",7,0,0.88,0.125
"10","Charley Hoffman",2,0,0.88,0.125
"11","Chris Kirk",1,0,0.88,0.125
"12","Danny Willett",4,0,0.88,0.125
"13","Dustin Johnson",47,0,0.88,0.125
"14","Ernie Els",1,0,0.88,0.125
"15","Graeme McDowell",1,0,0.88,0.125
"16","Henrik Stenson",29,0,0.88,0.125
"17","Hideki Matsuyama",7,0,0.88,0.125
"18","J.B. Holmes",1,0,0.88,0.125
"19","Jason Day",104,0,0.88,0.125
"20","Jason Dufner",2,0,0.88,0.125
"21","Jimmy Walker",5,0,0.88,0.125
"22","Jordan Spieth",89,0,0.88,0.125
"23","Justin Rose",26,0,0.88,0.125
"24","Justin Thomas",1,0,0.88,0.125
"25","Keegan Bradley",1,0,0.88,0.125
"26","Kevin Kisner",2,0,0.88,0.125
"27","Louis Oosthuizen",19,0,0.88,0.125
"28","Marc Leishman",2,0,0.88,0.125
"29","Matt Kuchar",4,0,0.88,0.125
"30","Patrick Reed",7,0,0.88,0.125
"31","Paul Casey",2,0,0.88,0.125
"32","Phil Mickelson",41,0,0.88,0.125
"33","Rafael Cabrera Bello",4,0,0.88,0.125
"34","Rickie Fowler",55,0,0.88,0.125
"35","Rory McIlroy",70,0,0.88,0.125
"36","Russell Knox",1,0,0.88,0.125
"37","Sergio Garcia",4,0,0.88,0.125
"38","Troy Merritt",1,0,0.88,0.125
"39","Vaughn Taylor",1,0,0.88,0.125
"40","Zach Johnson",6,0,0.88,0.125
"1 3","Adam Scott Bill Haas",1,0,0.88,0.125
"1 4","Adam Scott Brandt Snedeker",2,0,0.88,0.125
"1 5","Adam Scott Brooks Koepka",1,0,0.88,0.125
"1 7","Adam Scott Bubba Watson",25,0,0.88,0.125
"1 9","Adam Scott Charl Schwartzel",5,0,0.88,0.125
"1 12","Adam Scott Danny Willett",1,0,0.88,0.125
"1 13","Adam Scott Dustin Johnson",18,0,0.88,0.125
"1 14","Adam Scott Ernie Els",1,0,0.88,0.125
"1 15","Adam Scott Graeme McDowell",1,0,0.88,0.125
"1 16","Adam Scott Henrik Stenson",10,0,0.88,0.125
"1 17","Adam Scott Hideki Matsuyama",3,0,0.88,0.125
"1 19","Adam Scott Jason Day",52,0,0.88,0.125
"1 21","Adam Scott Jimmy Walker",2,0,0.88,0.125
"1 22","Adam Scott Jordan Spieth",43,0,0.88,0.125
"1 23","Adam Scott Justin Rose",12,0,0.88,0.125
"1 26","Adam Scott Kevin Kisner",1,0,0.88,0.125
"1 27","Adam Scott Louis Oosthuizen",2,0,0.88,0.125
"1 28","Adam Scott Marc Leishman",2,0,0.88,0.125
"1 29","Adam Scott Matt Kuchar",2,0,0.88,0.125
"1 30","Adam Scott Patrick Reed",5,0,0.88,0.125
"1 32","Adam Scott Phil Mickelson",21,0,0.88,0.125
"1 34","Adam Scott Rickie Fowler",24,0,0.88,0.125
"1 35","Adam Scott Rory McIlroy",29,0,0.88,0.125
"1 37","Adam Scott Sergio Garcia",1,0,0.88,0.125
"1 39","Adam Scott Vaughn Taylor",1,0,0.88,0.125
"1 40","Adam Scott Zach Johnson",3,0,0.88,0.125
"1 3 19","Adam Scott Bill Haas Jason Day",1,0,0.88,0.125
"1 3 22","Adam Scott Bill Haas Jordan Spieth",1,0,0.88,0.125
"1 3 35","Adam Scott Bill Haas Rory McIlroy",1,0,0.88,0.125
"1 3 19 22","Adam Scott Bill Haas Jason Day Jordan Spieth",1,0,0.88,0.125
"1 3 19 35","Adam Scott Bill Haas Jason Day Rory McIlroy",1,0,0.88,0.125
"1 3 19 22 35","Adam Scott Bill Haas Jason Day Jordan Spieth Rory McIlroy",1,0,0.88,0.125
"1 3 22 35","Adam Scott Bill Haas Jordan Spieth Rory McIlroy",1,0,0.88,0.125
"1 4 7","Adam Scott Brandt Snedeker Bubba Watson",1,0,0.88,0.125
"1 4 19","Adam Scott Brandt Snedeker Jason Day",2,0,0.88,0.125
"1 4 22","Adam Scott Brandt Snedeker Jordan Spieth",2,0,0.88,0.125
"1 4 32","Adam Scott Brandt Snedeker Phil Mickelson",1,0,0.88,0.125
"1 4 7 19","Adam Scott Brandt Snedeker Bubba Watson Jason Day",1,0,0.88,0.125
"1 4 7 22","Adam Scott Brandt Snedeker Bubba Watson Jordan Spieth",1,0,0.88,0.125
"1 4 7 19 22","Adam Scott Brandt Snedeker Bubba Watson Jason Day Jordan Spieth",1,0,0.88,0.125
"1 4 19 22","Adam Scott Brandt Snedeker Jason Day Jordan Spieth",2,0,0.88,0.125
"1 4 19 32","Adam Scott Brandt Snedeker Jason Day Phil Mickelson",1,0,0.88,0.125
"1 4 19 22 32","Adam Scott Brandt Snedeker Jason Day Jordan Spieth Phil Mickelson",1,0,0.88,0.125
"1 4 22 32","Adam Scott Brandt Snedeker Jordan Spieth Phil Mickelson",1,0,0.88,0.125
"1 5 7","Adam Scott Brooks Koepka Bubba Watson",1,0,0.88,0.125
"1 5 12","Adam Scott Brooks Koepka Danny Willett",1,0,0.88,0.125
"1 5 19","Adam Scott Brooks Koepka Jason Day",1,0,0.88,0.125
"1 5 7 12","Adam Scott Brooks Koepka Bubba Watson Danny Willett",1,0,0.88,0.125
"1 5 7 19","Adam Scott Brooks Koepka Bubba Watson Jason Day",1,0,0.88,0.125
"1 5 7 12 19","Adam Scott Brooks Koepka Bubba Watson Danny Willett Jason Day",1,0,0.88,0.125
"1 5 12 19","Adam Scott Brooks Koepka Danny Willett Jason Day",1,0,0.88,0.125
"1 7 9","Adam Scott Bubba Watson Charl Schwartzel",1,0,0.88,0.125
"1 7 12","Adam Scott Bubba Watson Danny Willett",1,0,0.88,0.125
"1 7 13","Adam Scott Bubba Watson Dustin Johnson",2,0,0.88,0.125
"1 7 16","Adam Scott Bubba Watson Henrik Stenson",4,0,0.88,0.125
"1 7 17","Adam Scott Bubba Watson Hideki Matsuyama",2,0,0.88,0.125
"1 7 19","Adam Scott Bubba Watson Jason Day",21,0,0.88,0.125
"1 7 21","Adam Scott Bubba Watson Jimmy Walker",2,0,0.88,0.125
"1 7 22","Adam Scott Bubba Watson Jordan Spieth",17,0,0.88,0.125
"1 7 23","Adam Scott Bubba Watson Justin Rose",2,0,0.88,0.125
"1 7 28","Adam Scott Bubba Watson Marc Leishman",1,0,0.88,0.125
"1 7 32","Adam Scott Bubba Watson Phil Mickelson",6,0,0.88,0.125
"1 7 34","Adam Scott Bubba Watson Rickie Fowler",6,0,0.88,0.125
"1 7 35","Adam Scott Bubba Watson Rory McIlroy",8,0,0.88,0.125
"1 7 9 16","Adam Scott Bubba Watson Charl Schwartzel Henrik Stenson",1,0,0.88,0.125
"1 7 9 34","Adam Scott Bubba Watson Charl Schwartzel Rickie Fowler",1,0,0.88,0.125
"1 7 9 16 34","Adam Scott Bubba Watson Charl Schwartzel Henrik Stenson Rickie Fowler",1,0,0.88,0.125
"1 7 12 19","Adam Scott Bubba Watson Danny Willett Jason Day",1,0,0.88,0.125
"1 7 13 19","Adam Scott Bubba Watson Dustin Johnson Jason Day",1,0,0.88,0.125
"1 7 13 21","Adam Scott Bubba Watson Dustin Johnson Jimmy Walker",1,0,0.88,0.125
"1 7 13 22","Adam Scott Bubba Watson Dustin Johnson Jordan Spieth",2,0,0.88,0.125
"1 7 13 19 22","Adam Scott Bubba Watson Dustin Johnson Jason Day Jordan Spieth",1,0,0.88,0.125
"1 7 13 21 22","Adam Scott Bubba Watson Dustin Johnson Jimmy Walker Jordan Spieth",1,0,0.88,0.125
"1 7 16 19","Adam Scott Bubba Watson Henrik Stenson Jason Day",2,0,0.88,0.125
"1 7 16 22","Adam Scott Bubba Watson Henrik Stenson Jordan Spieth",2,0,0.88,0.125
"1 7 16 32","Adam Scott Bubba Watson Henrik Stenson Phil Mickelson",1,0,0.88,0.125
"1 7 16 34","Adam Scott Bubba Watson Henrik Stenson Rickie Fowler",1,0,0.88,0.125
"1 7 16 35","Adam Scott Bubba Watson Henrik Stenson Rory McIlroy",1,0,0.88,0.125
"1 7 16 19 22","Adam Scott Bubba Watson Henrik Stenson Jason Day Jordan Spieth",1,0,0.88,0.125
"1 7 16 19 35","Adam Scott Bubba Watson Henrik Stenson Jason Day Rory McIlroy",1,0,0.88,0.125
"1 7 16 22 32","Adam Scott Bubba Watson Henrik Stenson Jordan Spieth Phil Mickelson",1,0,0.88,0.125
"1 7 17 19","Adam Scott Bubba Watson Hideki Matsuyama Jason Day",1,0,0.88,0.125
"1 7 17 32","Adam Scott Bubba Watson Hideki Matsuyama Phil Mickelson",1,0,0.88,0.125
"1 7 17 34","Adam Scott Bubba Watson Hideki Matsuyama Rickie Fowler",2,0,0.88,0.125
"1 7 17 19 34","Adam Scott Bubba Watson Hideki Matsuyama Jason Day Rickie Fowler",1,0,0.88,0.125
"1 7 17 32 34","Adam Scott Bubba Watson Hideki Matsuyama Phil Mickelson Rickie Fowler",1,0,0.88,0.125
"1 7 19 21","Adam Scott Bubba Watson Jason Day Jimmy Walker",1,0,0.88,0.125
"1 7 19 22","Adam Scott Bubba Watson Jason Day Jordan Spieth",15,0,0.88,0.125
"1 7 19 23","Adam Scott Bubba Watson Jason Day Justin Rose",2,0,0.88,0.125
"1 7 19 28","Adam Scott Bubba Watson Jason Day Marc Leishman",1,0,0.88,0.125
"1 7 19 32","Adam Scott Bubba Watson Jason Day Phil Mickelson",4,0,0.88,0.125
"1 7 19 34","Adam Scott Bubba Watson Jason Day Rickie Fowler",4,0,0.88,0.125
"1 7 19 35","Adam Scott Bubba Watson Jason Day Rory McIlroy",8,0,0.88,0.125
"1 7 19 21 22","Adam Scott Bubba Watson Jason Day Jimmy Walker Jordan Spieth",1,0,0.88,0.125
"1 7 19 22 23","Adam Scott Bubba Watson Jason Day Jordan Spieth Justin Rose",1,0,0.88,0.125
"1 7 19 22 28","Adam Scott Bubba Watson Jason Day Jordan Spieth Marc Leishman",1,0,0.88,0.125
"1 7 19 22 32","Adam Scott Bubba Watson Jason Day Jordan Spieth Phil Mickelson",2,0,0.88,0.125
"1 7 19 22 35","Adam Scott Bubba Watson Jason Day Jordan Spieth Rory McIlroy",7,0,0.88,0.125
"1 7 19 23 34","Adam Scott Bubba Watson Jason Day Justin Rose Rickie Fowler",1,0,0.88,0.125
"1 7 19 32 34","Adam Scott Bubba Watson Jason Day Phil Mickelson Rickie Fowler",2,0,0.88,0.125
"1 7 21 22","Adam Scott Bubba Watson Jimmy Walker Jordan Spieth",2,0,0.88,0.125
"1 7 22 23","Adam Scott Bubba Watson Jordan Spieth Justin Rose",1,0,0.88,0.125
"1 7 22 28","Adam Scott Bubba Watson Jordan Spieth Marc Leishman",1,0,0.88,0.125
"1 7 22 32","Adam Scott Bubba Watson Jordan Spieth Phil Mickelson",3,0,0.88,0.125
"1 7 22 35","Adam Scott Bubba Watson Jordan Spieth Rory McIlroy",7,0,0.88,0.125
"1 7 23 34","Adam Scott Bubba Watson Justin Rose Rickie Fowler",1,0,0.88,0.125
"1 7 32 34","Adam Scott Bubba Watson Phil Mickelson Rickie Fowler",3,0,0.88,0.125
"1 9 13","Adam Scott Charl Schwartzel Dustin Johnson",1,0,0.88,0.125
"1 9 16","Adam Scott Charl Schwartzel Henrik Stenson",2,0,0.88,0.125
"1 9 19","Adam Scott Charl Schwartzel Jason Day",4,0,0.88,0.125
"1 9 22","Adam Scott Charl Schwartzel Jordan Spieth",4,0,0.88,0.125
"1 9 32","Adam Scott Charl Schwartzel Phil Mickelson",2,0,0.88,0.125
"1 9 34","Adam Scott Charl Schwartzel Rickie Fowler",1,0,0.88,0.125
"1 9 13 19","Adam Scott Charl Schwartzel Dustin Johnson Jason Day",1,0,0.88,0.125
"1 9 13 22","Adam Scott Charl Schwartzel Dustin Johnson Jordan Spieth",1,0,0.88,0.125
"1 9 13 19 22","Adam Scott Charl Schwartzel Dustin Johnson Jason Day Jordan Spieth",1,0,0.88,0.125
"1 9 16 19","Adam Scott Charl Schwartzel Henrik Stenson Jason Day",1,0,0.88,0.125
"1 9 16 22","Adam Scott Charl Schwartzel Henrik Stenson Jordan Spieth",1,0,0.88,0.125
"1 9 16 34","Adam Scott Charl Schwartzel Henrik Stenson Rickie Fowler",1,0,0.88,0.125
"1 9 16 19 22","Adam Scott Charl Schwartzel Henrik Stenson Jason Day Jordan Spieth",1,0,0.88,0.125
"1 9 19 22","Adam Scott Charl Schwartzel Jason Day Jordan Spieth",4,0,0.88,0.125
"1 9 19 32","Adam Scott Charl Schwartzel Jason Day Phil Mickelson",2,0,0.88,0.125
"1 9 19 22 32","Adam Scott Charl Schwartzel Jason Day Jordan Spieth Phil Mickelson",2,0,0.88,0.125
"1 9 22 32","Adam Scott Charl Schwartzel Jordan Spieth Phil Mickelson",2,0,0.88,0.125
"1 12 19","Adam Scott Danny Willett Jason Day",1,0,0.88,0.125
"1 13 16","Adam Scott Dustin Johnson Henrik Stenson",2,0,0.88,0.125
"1 13 17","Adam Scott Dustin Johnson Hideki Matsuyama",1,0,0.88,0.125
"1 13 19","Adam Scott Dustin Johnson Jason Day",11,0,0.88,0.125
"1 13 21","Adam Scott Dustin Johnson Jimmy Walker",1,0,0.88,0.125
"1 13 22","Adam Scott Dustin Johnson Jordan Spieth",11,0,0.88,0.125
"1 13 23","Adam Scott Dustin Johnson Justin Rose",4,0,0.88,0.125
"1 13 30","Adam Scott Dustin Johnson Patrick Reed",2,0,0.88,0.125
"1 13 32","Adam Scott Dustin Johnson Phil Mickelson",2,0,0.88,0.125
"1 13 34","Adam Scott Dustin Johnson Rickie Fowler",9,0,0.88,0.125
"1 13 35","Adam Scott Dustin Johnson Rory McIlroy",7,0,0.88,0.125
"1 13 40","Adam Scott Dustin Johnson Zach Johnson",1,0,0.88,0.125
"1 13 16 19","Adam Scott Dustin Johnson Henrik Stenson Jason Day",1,0,0.88,0.125
"1 13 16 23","Adam Scott Dustin Johnson Henrik Stenson Justin Rose",1,0,0.88,0.125
"1 13 16 34","Adam Scott Dustin Johnson Henrik Stenson Rickie Fowler",2,0,0.88,0.125
"1 13 16 19 34","Adam Scott Dustin Johnson Henrik Stenson Jason Day Rickie Fowler",1,0,0.88,0.125
"1 13 16 23 34","Adam Scott Dustin Johnson Henrik Stenson Justin Rose Rickie Fowler",1,0,0.88,0.125
"1 13 17 19","Adam Scott Dustin Johnson Hideki Matsuyama Jason Day",1,0,0.88,0.125
"1 13 17 40","Adam Scott Dustin Johnson Hideki Matsuyama Zach Johnson",1,0,0.88,0.125
"1 13 17 19 40","Adam Scott Dustin Johnson Hideki Matsuyama Jason Day Zach Johnson",1,0,0.88,0.125
"1 13 19 22","Adam Scott Dustin Johnson Jason Day Jordan Spieth",7,0,0.88,0.125
"1 13 19 23","Adam Scott Dustin Johnson Jason Day Justin Rose",1,0,0.88,0.125
"1 13 19 32","Adam Scott Dustin Johnson Jason Day Phil Mickelson",2,0,0.88,0.125
"1 13 19 34","Adam Scott Dustin Johnson Jason Day Rickie Fowler",3,0,0.88,0.125
"1 13 19 35","Adam Scott Dustin Johnson Jason Day Rory McIlroy",4,0,0.88,0.125
"1 13 19 40","Adam Scott Dustin Johnson Jason Day Zach Johnson",1,0,0.88,0.125
"1 13 19 22 23","Adam Scott Dustin Johnson Jason Day Jordan Spieth Justin Rose",1,0,0.88,0.125
"1 13 19 22 32","Adam Scott Dustin Johnson Jason Day Jordan Spieth Phil Mickelson",1,0,0.88,0.125
"1 13 19 22 35","Adam Scott Dustin Johnson Jason Day Jordan Spieth Rory McIlroy",3,0,0.88,0.125
"1 13 19 32 34","Adam Scott Dustin Johnson Jason Day Phil Mickelson Rickie Fowler",1,0,0.88,0.125
"1 13 19 34 35","Adam Scott Dustin Johnson Jason Day Rickie Fowler Rory McIlroy",1,0,0.88,0.125
"1 13 21 22","Adam Scott Dustin Johnson Jimmy Walker Jordan Spieth",1,0,0.88,0.125
"1 13 22 23","Adam Scott Dustin Johnson Jordan Spieth Justin Rose",1,0,0.88,0.125
"1 13 22 30","Adam Scott Dustin Johnson Jordan Spieth Patrick Reed",2,0,0.88,0.125
"1 13 22 32","Adam Scott Dustin Johnson Jordan Spieth Phil Mickelson",1,0,0.88,0.125
"1 13 22 34","Adam Scott Dustin Johnson Jordan Spieth Rickie Fowler",3,0,0.88,0.125
"1 13 22 35","Adam Scott Dustin Johnson Jordan Spieth Rory McIlroy",4,0,0.88,0.125
"1 13 22 30 34","Adam Scott Dustin Johnson Jordan Spieth Patrick Reed Rickie Fowler",2,0,0.88,0.125
"1 13 22 34 35","Adam Scott Dustin Johnson Jordan Spieth Rickie Fowler Rory McIlroy",1,0,0.88,0.125
"1 13 23 34","Adam Scott Dustin Johnson Justin Rose Rickie Fowler",3,0,0.88,0.125
"1 13 23 35","Adam Scott Dustin Johnson Justin Rose Rory McIlroy",2,0,0.88,0.125
"1 13 23 34 35","Adam Scott Dustin Johnson Justin Rose Rickie Fowler Rory McIlroy",2,0,0.88,0.125
"1 13 30 34","Adam Scott Dustin Johnson Patrick Reed Rickie Fowler",2,0,0.88,0.125
"1 13 32 34","Adam Scott Dustin Johnson Phil Mickelson Rickie Fowler",1,0,0.88,0.125
"1 13 34 35","Adam Scott Dustin Johnson Rickie Fowler Rory McIlroy",4,0,0.88,0.125
"1 14 16","Adam Scott Ernie Els Henrik Stenson",1,0,0.88,0.125
"1 14 27","Adam Scott Ernie Els Louis Oosthuizen",1,0,0.88,0.125
"1 14 35","Adam Scott Ernie Els Rory McIlroy",1,0,0.88,0.125
"1 14 16 27","Adam Scott Ernie Els Henrik Stenson Louis Oosthuizen",1,0,0.88,0.125
"1 14 16 35","Adam Scott Ernie Els Henrik Stenson Rory McIlroy",1,0,0.88,0.125
"1 14 16 27 35","Adam Scott Ernie Els Henrik Stenson Louis Oosthuizen Rory McIlroy",1,0,0.88,0.125
"1 14 27 35","Adam Scott Ernie Els Louis Oosthuizen Rory McIlroy",1,0,0.88,0.125
"1 15 23","Adam Scott Graeme McDowell Justin Rose",1,0,0.88,0.125
"1 15 26","Adam Scott Graeme McDowell Kevin Kisner",1,0,0.88,0.125
"1 15 39","Adam Scott Graeme McDowell Vaughn Taylor",1,0,0.88,0.125
"1 15 23 26","Adam Scott Graeme McDowell Justin Rose Kevin Kisner",1,0,0.88,0.125
"1 15 23 39","Adam Scott Graeme McDowell Justin Rose Vaughn Taylor",1,0,0.88,0.125
"1 15 23 26 39","Adam Scott Graeme McDowell Justin Rose Kevin Kisner Vaughn Taylor",1,0,0.88,0.125
"1 15 26 39","Adam Scott Graeme McDowell Kevin Kisner Vaughn Taylor",1,0,0.88,0.125
"1 16 19","Adam Scott Henrik Stenson Jason Day",6,0,0.88,0.125
"1 16 22","Adam Scott Henrik Stenson Jordan Spieth",5,0,0.88,0.125
"1 16 23","Adam Scott Henrik Stenson Justin Rose",1,0,0.88,0.125
"1 16 27","Adam Scott Henrik Stenson Louis Oosthuizen",1,0,0.88,0.125
"1 16 32","Adam Scott Henrik Stenson Phil Mickelson",1,0,0.88,0.125
"1 16 34","Adam Scott Henrik Stenson Rickie Fowler",5,0,0.88,0.125
"1 16 35","Adam Scott Henrik Stenson Rory McIlroy",2,0,0.88,0.125
"1 16 19 22","Adam Scott Henrik Stenson Jason Day Jordan Spieth",4,0,0.88,0.125
"1 16 19 34","Adam Scott Henrik Stenson Jason Day Rickie Fowler",3,0,0.88,0.125
"1 16 19 35","Adam Scott Henrik Stenson Jason Day Rory McIlroy",1,0,0.88,0.125
"1 16 19 22 34","Adam Scott Henrik Stenson Jason Day Jordan Spieth Rickie Fowler",2,0,0.88,0.125
"1 16 22 32","Adam Scott Henrik Stenson Jordan Spieth Phil Mickelson",1,0,0.88,0.125
"1 16 22 34","Adam Scott Henrik Stenson Jordan Spieth Rickie Fowler",2,0,0.88,0.125
"1 16 23 34","Adam Scott Henrik Stenson Justin Rose Rickie Fowler",1,0,0.88,0.125
"1 16 27 35","Adam Scott Henrik Stenson Louis Oosthuizen Rory McIlroy",1,0,0.88,0.125
"1 17 19","Adam Scott Hideki Matsuyama Jason Day",2,0,0.88,0.125
"1 17 32","Adam Scott Hideki Matsuyama Phil Mickelson",1,0,0.88,0.125
"1 17 34","Adam Scott Hideki Matsuyama Rickie Fowler",2,0,0.88,0.125
"1 17 40","Adam Scott Hideki Matsuyama Zach Johnson",1,0,0.88,0.125
"1 17 19 34","Adam Scott Hideki Matsuyama Jason Day Rickie Fowler",1,0,0.88,0.125
"1 17 19 40","Adam Scott Hideki Matsuyama Jason Day Zach Johnson",1,0,0.88,0.125
"1 17 32 34","Adam Scott Hideki Matsuyama Phil Mickelson Rickie Fowler",1,0,0.88,0.125
"1 19 21","Adam Scott Jason Day Jimmy Walker",1,0,0.88,0.125
"1 19 22","Adam Scott Jason Day Jordan Spieth",36,0,0.88,0.125
"1 19 23","Adam Scott Jason Day Justin Rose",7,0,0.88,0.125
"1 19 27","Adam Scott Jason Day Louis Oosthuizen",1,0,0.88,0.125
"1 19 28","Adam Scott Jason Day Marc Leishman",2,0,0.88,0.125
"1 19 30","Adam Scott Jason Day Patrick Reed",2,0,0.88,0.125
"1 19 32","Adam Scott Jason Day Phil Mickelson",17,0,0.88,0.125
"1 19 34","Adam Scott Jason Day Rickie Fowler",14,0,0.88,0.125
"1 19 35","Adam Scott Jason Day Rory McIlroy",23,0,0.88,0.125
"1 19 37","Adam Scott Jason Day Sergio Garcia",1,0,0.88,0.125
"1 19 40","Adam Scott Jason Day Zach Johnson",3,0,0.88,0.125
"1 19 21 22","Adam Scott Jason Day Jimmy Walker Jordan Spieth",1,0,0.88,0.125
"1 19 22 23","Adam Scott Jason Day Jordan Spieth Justin Rose",4,0,0.88,0.125
"1 19 22 28","Adam Scott Jason Day Jordan Spieth Marc Leishman",1,0,0.88,0.125
"1 19 22 30","Adam Scott Jason Day Jordan Spieth Patrick Reed",1,0,0.88,0.125
"1 19 22 32","Adam Scott Jason Day Jordan Spieth Phil Mickelson",10,0,0.88,0.125
"1 19 22 34","Adam Scott Jason Day Jordan Spieth Rickie Fowler",4,0,0.88,0.125
"1 19 22 35","Adam Scott Jason Day Jordan Spieth Rory McIlroy",15,0,0.88,0.125
"1 19 22 37","Adam Scott Jason Day Jordan Spieth Sergio Garcia",1,0,0.88,0.125
